compound_id,canonical_smiles,standard_value,standard_units,standard_type,standard_relation,assay_description,assay_type,src_id,doc_id,source_name,assay_class,canon
CHEMBL180830,O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(C(=O)c3ccco3)CC2)CC1)c1cccc2c1OCCO2,11.0,uL/min/mg protein,LM,=,Intrinsic clearance of compound in human liver microsomes,A,1,CHEMBL1142047,Scientific Literature,microsome,O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(C(=O)c3ccco3)CC2)CC1)c1cccc2c1OCCO2
CHEMBL181415,O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(Cc3cccnc3)CC2)CC1)c1cccc2c1OCCO2,7.0,uL/min/mg protein,LM,=,Intrinsic clearance of compound in human liver microsomes,A,1,CHEMBL1142047,Scientific Literature,microsome,O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(Cc3cccnc3)CC2)CC1)c1cccc2c1OCCO2
CHEMBL179799,CS(=O)(=O)N1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1,3.0,uL/min/mg protein,LM,=,Intrinsic clearance of compound in human liver microsomes,A,1,CHEMBL1142047,Scientific Literature,microsome,CS(=O)(=O)N1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1
CHEMBL360245,CCCS(=O)(=O)N1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1,34.0,uL/min/mg protein,LM,=,Intrinsic clearance of compound in human liver microsomes,A,1,CHEMBL1142047,Scientific Literature,microsome,CCCS(=O)(=O)N1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1
CHEMBL179833,CC(C)S(=O)(=O)N1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1,7.0,uL/min/mg protein,LM,=,Intrinsic clearance of compound in human liver microsomes,A,1,CHEMBL1142047,Scientific Literature,microsome,CC(C)S(=O)(=O)N1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1
CHEMBL367354,O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(S(=O)(=O)c3ccc(F)cc3)CC2)CC1)c1cccc2c1OCCO2,93.0,uL/min/mg protein,LM,=,Intrinsic clearance of compound in human liver microsomes,A,1,CHEMBL1142047,Scientific Literature,microsome,O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(S(=O)(=O)c3ccc(F)cc3)CC2)CC1)c1cccc2c1OCCO2
CHEMBL360449,O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(S(=O)(=O)N3CCCC3)CC2)CC1)c1cccc2c1OCCO2,36.0,uL/min/mg protein,LM,=,Intrinsic clearance of compound in human liver microsomes,A,1,CHEMBL1142047,Scientific Literature,microsome,O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(S(=O)(=O)N3CCCC3)CC2)CC1)c1cccc2c1OCCO2
CHEMBL356359,CCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1,5.0,uL/min/mg protein,LM,=,Intrinsic clearance of compound in human liver microsomes,A,1,CHEMBL1142047,Scientific Literature,microsome,CCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1
CHEMBL181928,O=C(NCC1CCN(CCCS(=O)(=O)N2CCCCC2)CC1)c1cccc2c1OCCO2,14.0,uL/min/mg protein,LM,=,Intrinsic clearance of compound in human liver microsomes,A,1,CHEMBL1142047,Scientific Literature,microsome,O=C(NCC1CCN(CCCS(=O)(=O)N2CCCCC2)CC1)c1cccc2c1OCCO2
CHEMBL178285,CC1(C)CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1,110.0,uL/min/mg protein,LM,=,Intrinsic clearance of compound in human liver microsomes,A,1,CHEMBL1142047,Scientific Literature,microsome,CC1(C)CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1
