name	smiles	dose_mg	cmax_obs	cmax_pred_original	clint_original	clint_deconv	cmax_at_deconv	status	error_msg
norgestrel	C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC	0.3	0.0104999999999999	0.002449	45.9202			no_root	f(lo)=-0.219, f(hi)=-1.468 — same sign
ethinamate	C#CC1(OC(N)=O)CCCCC1	1000.0	5.9	2.806133	28.1069	4.6558	5.902652	success	
selegiline	C#CCN(C)[C@H](C)Cc1ccccc1	10.0	0.0022099773754498	0.038405	40.2313			no_root	f(lo)=1.900, f(hi)=0.823 — same sign
rasagiline	C#CCN[C@@H]1CCc2ccccc21	0.5	0.0026554103302162	0.005519	21.0437	141.1569	0.002659	success	
Islatravir	C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O	5.0	0.0431099999999999	0.006523	10.5782			no_root	f(lo)=-0.147, f(hi)=-1.454 — same sign
etonogestrel	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC	0.15	0.0012899999999999	0.001515	34.5995	30.3256	0.001290	success	
norethisterone (norethindrone)	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C	0.3	0.0043599999999999	0.001730	56.4053	5.7426	0.004360	success	
levonorgestrel	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC	0.75	0.0110620251310508	0.008119	45.9202	11.9284	0.011069	success	
danazol	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C	100.0	0.037	0.830017	42.1589			no_root	f(lo)=1.977, f(hi)=0.515 — same sign
tibolone	C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C	1.25	0.0008999999999999	0.008676	47.5877			no_root	f(lo)=1.416, f(hi)=0.149 — same sign
3alpha-hydroxytibolone	C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CC[C@@H](O)C4)[C@H]3CC[C@@]21C	1.25	0.0082999999999999	0.006591	46.8186	20.2391	0.008292	success	
3beta-hydroxytibolone	C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CC[C@H](O)C4)[C@H]3CC[C@@]21C	1.25	0.0021	0.006591	46.8186	220.0844	0.002103	success	
erlotinib	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	150.0	1.233599269314674	1.622326	9.9533	15.0417	1.236027	success	
Icotinib	C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1	100.0	0.728	0.971236	12.8698	21.9736	0.728884	success	
cinnarizine	C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1	25.0	0.03539	0.161545	31.2233	365.7858	0.035396	success	
teriflunomide	C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1	10.0	0.8388325220209335	0.180949	14.6211			no_root	f(lo)=-0.569, f(hi)=-1.967 — same sign
cyclosporine	C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C	347.5	0.8	0.162398	18.0758	0.5294	0.801243	success	
huperzine a	C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2	0.2	0.0015499999999999	0.000199	24.6860			no_root	f(lo)=-0.227, f(hi)=-1.442 — same sign
perhexiline	C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1	300.0	0.09944	1.369975	33.0453			no_root	f(lo)=1.626, f(hi)=0.392 — same sign
rilmenidine	C1COC(NC(C2CC2)C2CC2)=N1	0.5	0.0014	0.001651	35.3683	29.7727	0.001400	success	
methenamine	C1N2CN3CN1CN(C2)C3	1000.0	30.246652707365826	2.560668	30.3348			no_root	f(lo)=-0.329, f(hi)=-1.406 — same sign
cannabidiol	C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O	200.0	0.153	1.305080	46.3230	2429.3507	0.152955	success	
Bevirimat	C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12	25.0	2.24	0.043765	42.2802			no_root	f(lo)=-1.497, f(hi)=-2.640 — same sign
adagrasib	C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N	600.0	0.984	2.232908	38.8720	136.6585	0.985436	success	
voclosporin	C=C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C	18.07	0.032	0.024340	16.7022	4.5110	0.031993	success	
nalmefene	C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5	18.06	0.0165	0.019164	20.8293	19.0624	0.016495	success	
