canon,Y,bde_failed,BDE_min_all,BDE_2nd_all,BDE_3rd_all,BDE_mean_all,BDE_std_all,BDE_range_all,N_vuln_85_all,N_vuln_90_all,N_CH_all,BDE_min_frac_all,BDE_min_aliph,BDE_2nd_aliph,BDE_3rd_aliph,BDE_mean_aliph,BDE_std_aliph,BDE_range_aliph,N_vuln_85_aliph,N_vuln_90_aliph,N_CH_aliph,BDE_min_frac_aliph
C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,94.01,False,73.71485900878906,88.90748596191406,89.49779510498047,101.87606811523438,14.08591365814209,58.06190490722656,1,3,17,0.7235738635063171,73.71485900878906,88.90748596191406,89.49779510498047,91.78075408935547,7.244898319244385,27.75244903564453,1,3,10,0.8031625151634216
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,8.59,False,94.42057037353516,94.42057037353516,95.56431579589844,105.80174255371094,10.137507438659668,34.791404724121094,0,0,14,0.8924292325973511,94.42057037353516,94.42057037353516,95.56431579589844,95.50333404541016,0.8602675795555115,2.1045684814453125,0,0,6,0.9886625409126282
C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,12.715,False,93.75318908691406,93.75318908691406,94.08594512939453,105.63689422607422,10.932685852050781,35.45878601074219,0,0,14,0.8875042200088501,93.75318908691406,93.75318908691406,94.08594512939453,94.27346801757812,0.5186001658439636,1.2280807495117188,0,0,6,0.9944811463356018
C(=C/c1nn[nH]n1)\c1ccccc1,3.0,False,103.77406311035156,108.7932357788086,110.61219024658203,109.05338287353516,2.7701401710510254,7.465629577636719,0,0,5,0.9515895843505859,103.77406311035156,103.77406311035156,103.77406311035156,103.77406311035156,0.0,0.0,0,0,1,1.0
C=CC(=O)Nc1ccc(C)cc1,54.239999999999995,False,89.17495727539062,108.63712310791016,109.70121002197266,106.0002212524414,8.471047401428223,22.24248504638672,0,1,5,0.8412714004516602,89.17495727539062,89.17495727539062,89.17495727539062,89.17495727539062,0.0,0.0,0,1,1,1.0
C=CC(=O)Nc1ccc(F)cc1,20.51,False,108.63712310791016,109.70121002197266,111.7609634399414,111.00709533691406,2.0266036987304688,5.291969299316406,0,0,4,0.9786502718925476,,,,,,,0,0,0,
C=CC(=O)Nc1ccc(OC)cc1,26.689999999999998,False,96.56866455078125,108.63712310791016,109.70121002197266,107.89189147949219,5.870142459869385,16.657127380371094,0,0,5,0.8950502276420593,96.56866455078125,96.56866455078125,96.56866455078125,96.56866455078125,0.0,0.0,0,0,1,1.0
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,82.745,False,89.71343231201172,105.79193878173828,108.63712310791016,108.52928924560547,6.2304229736328125,23.35724639892578,0,1,11,0.8266287446022034,89.71343231201172,89.71343231201172,89.71343231201172,89.71343231201172,0.0,0.0,0,1,1,1.0
C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3cnc(NCCCCN(CC)CC)nc32)c1,39.81,False,81.2240982055664,88.02669525146484,90.75367736816406,101.07018280029297,9.59946060180664,31.014801025390625,1,2,17,0.8036405444145203,81.2240982055664,88.02669525146484,90.75367736816406,92.9420166015625,5.491044998168945,18.062225341796875,1,2,9,0.8739222884178162
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,41.370000000000005,False,89.7599105834961,91.8827896118164,92.04810333251953,105.5129165649414,8.348250389099121,23.178924560546875,0,1,14,0.8507006764411926,89.7599105834961,91.8827896118164,92.04810333251953,92.73005676269531,2.7499542236328125,7.469512939453125,0,1,4,0.9679699540138245
