Drug	Type	Cmax_obs	Eng_Cmax	Eng_fold	Meta_fold	P-gp	BCRP	OATP1B1	OATP1B3	OAT	OCT	UGT	UGT_isoforms	CYP_isoforms	AD_flags	Expected_mechanism
abiraterone	neutral	0.0730	1.5182	20.80	2.39									CYP3A4		none
montelukast	acid	0.3500	0.0190	0.05	0.22									CYP3A4;CYP2C9;CYP2C8	EXTREME_LIPOPHILIC	none
methylphenidate	base	0.0091	0.1375	15.11	13.14											none
digoxin	neutral	0.0015	0.0001	0.09	0.94											none
apixaban	neutral	0.1260	0.0115	0.09	0.54	Y	Y							CYP3A4;CYP1A2;CYP2C8;CYP2C9;CYP2C19;CYP3A5		none
darunavir ethanolate	neutral	1.2000	0.1099	0.09	0.41	Y								CYP3A4		none
azithromycin	base	0.5000	0.0589	0.12	0.97	Y								CYP3A4	HIGH_MW	none
moxifloxacin	zwitterion	4.1000	0.5010	0.12	0.71											none
valacyclovir	neutral	4.0300	0.5327	0.13	0.19										PRODRUG	none
oxybutynin	base	0.0010	0.0069	6.92	7.26									CYP3A4;CYP3A5		none
sildenafil	neutral	0.2700	0.0432	0.16	1.10	Y								CYP3A4;CYP3A5;CYP2C9;CYP2C19;CYP2D6;CYP2E1		none
ranolazine	neutral	2.6000	0.4271	0.16	0.92	Y								CYP3A4;CYP2D6		none
fluvoxamine	base	0.0150	0.0910	6.07	4.87									CYP2D6;CYP1A2;CYP3A4		none
fesoterodine	base	0.0019	0.0112	5.95	5.06	Y								CYP2D6;CYP3A4	PRODRUG	P-gp_efflux
isosorbide mononitrate	neutral	1.2420	0.2138	0.17	0.42											none
cetirizine	acid	0.2721	0.0562	0.21	0.55	Y										none
indomethacin	acid	1.5400	0.3317	0.22	0.76	Y				Y		Y	UGT1A9;UGT1A1;UGT2B7	CYP2C19;CYP2C9		UGT_fm,renal_secretion
metronidazole	neutral	13.0000	2.9627	0.23	0.36							Y	UGT1A1	CYP3A5		UGT_fm
bexagliflozin	neutral	0.1340	0.0337	0.25	1.46	Y						Y	UGT1A9;UGT1A1	CYP3A4;CYP2C8;CYP2D6		UGT_fm
sumatriptan	base	0.0165	0.0656	3.97	3.85	Y	Y	Y								P-gp_efflux,BCRP_efflux,OATP_uptake
clomipramine	base	0.0920	0.3536	3.84	0.91									CYP2D6;CYP2C19;CYP1A2;CYP3A4		none
