donor_id,CYP3A4,CYP2D6,CYP1A2,CYP2C9,CYP2E1,OATP1B1
662,77.95,5.49,17.04,16.72,16.4,1.62
697,44.48,15.24,15.94,28.37,35.9,1.93
728,28.65,5.01,13.2,17.57,22.23,0.85
746,52.64,9.57,16.37,,42.15,
766,99.89,3.24,15.27,15.57,28.11,1.72
794,28.35,13.61,25.88,19.79,27.94,0.62
806,58.21,20.12,30.7,17.66,41.38,1.03
813,43.7,,7.04,25.51,39.3,1.76
818,53.08,12.26,11.28,38.65,40.9,1.5
829,30.27,7.32,9.68,35.11,14.89,1.86
855,42.01,,10.45,16.19,34.43,
1071,3.68,,4.39,30,,0.61
1304,31.94,2.59,4.26,9.54,23.98,0.74
1372,21.84,7.42,13.94,,16.96,0.41
493,27.03,15.77,17.12,,39.86,0.9
590,82.5,13.25,24,25,33.58,1.17
645,183.57,81.3,19.83,98.02,20.11,1.42
646,16.5,,10.3,17.57,19.6,0.88
674,22.05,10.43,16.54,10,24.44,0.6
682,14.42,7.06,17.48,50.31,42.33,2.76
756,33.31,9.61,26.23,22.25,63.8,0.94
781,67.44,10.64,16.67,24.49,32.82,
734,22.76,,4.85,8.15,25.05,0.41
755,102.56,8.47,18.27,17.92,55.25,0.79
770,41.85,8.04,4.69,29.91,19.2,
389,2.9,3.97,1.61,10.09,7.08,0.86
589,108.66,34.81,34.07,17.13,67.4,1.47
1063,65.62,9.46,,,44.16,1.26
1359,37.9,7.62,18.29,28.95,33.71,0.95
