name,smiles,mw,logP,fup,rbp,clint_3a4_uL_min_pmol,peff_cm_s
midazolam,Clc1ccc2c(c1)C(=NCc1nccn1C)c1ccccc1N2,325.8,3.89,0.035,0.55,11.2,2.8e-4
warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,308.3,2.70,0.005,0.72,0.9,1.5e-4
propranolol,CC(C)NCC(O)COc1cccc2ccccc12,259.3,3.48,0.13,0.83,11.0,3.2e-4
metformin,CN(C)C(=N)NC(=N)N,129.2,-1.43,1.00,0.95,0.01,0.06e-4
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,194.2,-0.07,0.65,0.72,0.5,0.9e-4
alprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(=NC2)c1ccccc1,308.8,2.12,0.20,0.72,2.1,2.2e-4
diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,284.7,2.82,0.015,0.68,0.8,2.5e-4
amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,408.9,3.00,0.07,0.92,3.5,1.8e-4
atorvastatin,CC(C)c1n(CC[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccccc2)c(-c2ccc(F)cc2)c1C(=O)Nc1ccccc1,558.6,4.06,0.02,0.85,20.0,0.9e-4
carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,236.3,2.45,0.25,0.72,1.2,1.7e-4
celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,381.4,3.51,0.025,0.72,5.1,1.6e-4
clopidogrel,COC(=O)[C@@H](c1ccccc1Cl)N1CCc2sccc2C1,321.8,2.21,0.02,0.72,8.3,1.8e-4
codeine,COc1ccc2CC3N(C)CCC4=CC(O)C(c1c24)O3,299.4,1.19,0.25,0.72,0.2,1.0e-4
dextromethorphan,COc1ccc2CC3N(C)CCC4(CCCC(c1c24)C3)O,271.4,3.37,0.17,0.72,4.5,2.1e-4
erythromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,733.9,3.06,0.27,0.82,6.8,0.3e-4
fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,306.3,0.50,0.89,0.75,0.4,1.2e-4
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,206.3,3.97,0.005,0.72,0.4,2.5e-4
imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,280.4,4.28,0.11,0.80,6.0,2.9e-4
ketoconazole,CC(=O)Oc1ccc(C2(Cn3ccnc3)OCC(O2)c2ccc(Cl)cc2Cl)cc1,531.4,4.35,0.015,0.80,9.5,1.1e-4
lansoprazole,Fc1cc2c([nH]c(S(=O)Cc3ncc(CC(F)(F)F)cn3)n2)cc1,369.4,2.72,0.02,0.72,4.8,1.9e-4
metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,267.4,1.88,0.88,0.72,1.2,1.8e-4
nifedipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],346.3,2.20,0.045,0.72,14.0,2.0e-4
omeprazole,COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,345.4,2.23,0.05,0.72,5.5,1.6e-4
simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)CC(=O)O)[C@@H]21,418.6,4.68,0.05,0.80,28.0,1.2e-4
verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,454.6,3.79,0.10,0.90,8.2,2.5e-4
amoxicillin,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,365.4,-1.85,0.80,0.87,0.01,0.0002
ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,331.3,0.28,0.70,0.95,0.05,0.00005
doxycycline,OC1=C(C(N)=O)C(=O)C2(O)C(O)C3C(O)c4c(O)cccc4C(C)(O)C3CC2=C1N(C)C,444.4,-0.02,0.07,0.80,0.30,0.00005
clarithromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,747.9,1.83,0.40,0.80,5.20,0.00005
azithromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,748.9,2.47,0.51,0.60,0.50,0.00006
tetracycline,OC1=C(C(N)=O)C(=O)C2(O)C(O)C3C(O)c4c(O)cccc4C(O)(C)C3CC2=C1N(C)C,444.4,-1.30,0.35,0.80,0.10,0.00002
trimethoprim,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,290.3,0.91,0.55,0.80,0.20,0.00010
sulfamethoxazole,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,253.3,0.89,0.35,0.80,0.10,0.00010
nitrofurantoin,O=C1CN(/N=C/c2ccc(o2)[N+](=O)[O-])C(=O)N1,238.2,-0.47,0.60,0.80,0.05,0.00005
levofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,361.4,-0.39,0.69,0.90,0.10,0.00010
rosuvastatin,,481.5,0.13,0.11,0.85,2.00,0.00003
lovastatin,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,404.5,4.26,0.05,0.80,22.0,0.00015
pravastatin,CC[C@H](C)C(=O)O[C@H]1C[C@@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@@H]21,424.5,0.59,0.50,0.80,0.20,0.00004
fluvastatin,OC(CC(=O)O)CC=Cc1c(c2ccccc2)c2ccccc2n1C1CC1,411.5,3.24,0.015,0.80,8.00,0.00012
pitavastatin,OC(CC(=O)O)CC=Cc1c(c2ccccc2)c2ccccc2n1C1CC1,421.5,2.69,0.04,0.80,1.50,0.00008
lisinopril,N[C@@H](CCc1ccccc1)C(=O)N1C[C@@H](C(=O)O)C[C@H]1C(=O)O,405.5,-3.31,0.75,0.90,0.01,0.000005
enalapril,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,376.4,0.07,0.50,0.90,0.10,0.00008
losartan,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,422.9,3.15,0.015,0.80,4.20,0.00012
captopril,CC(CS)C(=O)N1CCCC1C(=O)O,217.3,0.34,0.70,0.90,0.10,0.00006
ramipril,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C2CCCC2CC1C(=O)O,416.5,1.33,0.27,0.80,0.50,0.00007
candesartan,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,440.5,5.23,0.005,0.80,0.40,0.00008
irbesartan,CCCCC1=NC2(CCCC2)c2ccc(-c3ccc(-c4nn[nH]n4)cc3)cc2N1,428.5,3.61,0.04,0.80,1.50,0.00010
olmesartan,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,446.5,3.83,0.005,0.80,0.30,0.00007
telmisartan,CCCc1nc2c(C)cc(-c3ccc(-c4nn[nH]n4)cc3)cc2n1Cc1ccccc1C(=O)O,514.6,7.20,0.005,0.80,0.20,0.00010
valsartan,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,435.5,4.10,0.05,0.80,0.10,0.00008
atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,266.3,0.16,0.95,0.90,0.10,0.00005
carvedilol,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,406.5,3.15,0.02,0.80,8.00,0.00020
bisoprolol,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,325.4,1.87,0.70,0.80,1.00,0.00015
labetalol,CC(NCC(O)c1ccc(O)c(C(N)=O)c1)CCc1ccccc1,328.4,1.24,0.50,0.80,3.00,0.00015
nebivolol,OC(c1ccc2c(c1)C(F)(F)OC2)C1CCN(CC(O)c2ccc3c(c2)OC(F)(F)C3)C1,405.4,3.01,0.02,0.80,9.00,0.00018
timolol,CC(C)(C)NCC(O)COc1noc2cc(OC3CCCO3)ccc12,316.4,1.61,0.40,0.80,2.00,0.00015
sotalol,CC(NCC(O)c1ccc(NS(C)(=O)=O)cc1)C,272.4,-1.01,0.85,0.90,0.05,0.00005
nadolol,CC(C)(C)NCC(O)c1ccc2c(c1)C(O)C(O)CC2,309.4,0.71,0.70,0.90,0.05,0.00007
glipizide,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,445.5,1.45,0.02,0.80,1.50,0.00009
glyburide,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,494.0,4.79,0.004,0.80,3.50,0.00010
pioglitazone,O=C1NC(=O)SC1Cc1ccc(OCCc2ncccc2)cc1,356.4,2.95,0.005,0.80,7.00,0.00015
rosiglitazone,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,357.4,2.10,0.005,0.80,3.00,0.00012
sitagliptin,N#Cc1cc(F)c(F)cc1CC(N)CC(=O)N1CCn2c(nnc2C(F)(F)F)C1,407.3,0.43,0.62,0.85,0.20,0.00008
empagliflozin,OCC1OC(c2cc(Cc3ccc4c(c3)OCC(c3ccc(Cl)cc3)O4)ccc2Cl)C(O)C(O)C1O,450.9,1.29,0.17,0.80,0.50,0.00010
canagliflozin,OCC1OC(c2cc(F)c(-c3ccc4c(c3)CCC(Cc3ccc(F)cc3)O4)cc2)C(O)C(O)C1O,444.5,2.09,0.01,0.80,0.30,0.00010
dapagliflozin,OCC1OC(c2cc(Cc3ccc(OCC4CCCCO4)cc3)ccc2Cl)C(O)C(O)C1O,408.9,2.60,0.09,0.80,0.20,0.00010
saxagliptin,N#CC(C1CCCC1(O)O)N1C(=O)CC2(CC3CC4CC(C3)CC2C4)C1,315.4,0.30,0.75,0.80,0.10,0.00008
linagliptin,Cc1nc(=O)n(/C=C/c2ccccn2)c2c1ncn2C1CC(N2CCC(=O)CC2)C1,472.5,3.21,0.21,0.80,0.30,0.00008
fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,309.3,4.05,0.06,0.80,3.00,0.00025
sertraline,CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,306.2,4.97,0.015,0.80,4.00,0.00025
paroxetine,Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,329.4,3.95,0.04,0.80,5.00,0.00022
escitalopram,N#CCC(c1ccc(F)cc1)c1ccc2c(c1)C(CCCN1CCCC1)CO2,324.4,2.83,0.44,0.80,2.00,0.00020
venlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,277.4,3.56,0.73,0.80,3.50,0.00022
