name,f_pct,raw,smiles
Cyclosporine,30.0,"the absorption of cyclosporine occurs mainly in the intestine.[a174049,a189405] absorption of cyclosporine is highly var",C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
Vitamin E,36.0,"10-33% of deuterium labelled vitamin e is absorbed in the small intestine[a176110,l3063]. absorption of vitamin e is dep",Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
Pravastatin,17.0,pravastatin is absorbed 60-90 min after oral administration and it presents a low bioavailability of 17%.[a34502] this l,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
Fluvoxamine,53.0,"well absorbed, bioavailability of fluvoxamine maleate is 53% [fda label].",COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
Baclofen,70.0,"baclofen has an oral bioavailability of 70% to 85%. following oral administration, it is rapidly absorbed through the ga",NCC(CC(=O)O)c1ccc(Cl)cc1
Amphetamine,75.0,amphetamine is well absorbed in the gut and as it is a weak base hence the more basic the environment the more of the dr,CC(N)Cc1ccccc1
Lorazepam,90.0,readily absorbed with an absolute bioavailability of 90% when given orally. when intramuscularly administered a dose of ,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
Carbidopa,58.0,"when [levodopa]/carbidopa is administered orally, 40-70% of the administered dose is absorbed.[l5116] once absorbed, car",C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O
Tramadol,75.0,"**oral administration**

tramadol is administered as a racemate, with both the [-] and [+] forms of both tramadol and ",COc1cccc(C2(O)CCCCC2CN(C)C)c1
Betaxolol,89.0,absorption of an oral dose is complete. there is a small and consistent first-pass effect resulting in an absolute bioav,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
Erythromycin,45.0,orally administered erythromycin is readily absorbed. food intake does not appear to exert effects on serum concentratio,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
Caffeine,100.0,"caffeine is rapidly absorbed after oral or parenteral administration, reaching peak plasma concentration within 30 minut",Cn1c(=O)c2c(ncn2C)n(C)c1=O
Sildenafil,41.0,"sildenafil is known to be quickly absorbed, with maximum plasma concentrations being observed within 30-120 minutes (wit",CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
Azithromycin,37.0,bioavailability of azithromycin is 37% following oral administration. absorption is not affected by food.  macrolide abs,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
Midodrine,93.0,"rapidly absorbed following oral administration. the peak plasma concentrations of the prodrug, desglymidodrine, is reach",COc1ccc(OC)c(C(O)CNC(=O)CN)c1
Pantoprazole,77.0,pantoprazole is absorbed after oral administration as an enteric-coated tablet with maximum plasma concentrations attain,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC
Torasemide,80.0,torasemide is the diuretic with the highest oral bioavailability even in advanced stages of chronic kidney disease.[a174,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1
Citalopram,80.0,the single- and multiple-dose pharmacokinetics of citalopram are linear and dose-proportional in a dose range of 10 to 4,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
Eletriptan,50.0,well absorbed after oral administration with a mean absolute bioavailability of approximately 50%.,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12
Moxifloxacin,90.0,well absorbed from the gastrointestinal tract. absolute oral bioavailability is approximately 90%. food has little effec,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
Cefotiam,60.0,rapidly absorbed following intramuscular injection. bioavailability is 60% following intramuscular injection.,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1
Pregabalin,90.0,"after oral dosing administered in the fasted state, pregabalin absorption is rapid, and extensive.[a31165] pregabalin or",CC(C)C[C@H](CN)CC(=O)O
