name,smiles,n_entries,clf_mL_min_kg,log10_clf,clf_ratio,clf_nonlinear,clf_oor,vdf_L_kg,log10_vdf,vdf_oor
norgestrel,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,1,0.3793,-0.4210,1.00,False,False,1.2542,0.0984,False
ethinamate,C#CC1(OC(N)=O)CCCCC1,1,9.5890,0.9818,1.00,False,False,1.8680,0.2714,False
rasagiline,C#CCN[C@@H]1CCc2ccccc21,4,63.0956,1.8000,1.57,False,False,10.4297,1.0183,False
Islatravir,C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,5,6.7689,0.8305,1.24,False,False,31.3518,1.4963,False
etonogestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,1,2.8802,0.4594,1.00,False,False,7.6306,0.8826,False
levonorgestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,2,1.1270,0.0519,1.29,False,False,2.5548,0.4074,False
danazol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,2,135.9967,2.1335,1.36,False,False,133.0840,2.1241,True
3alpha-hydroxytibolone,C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CC[C@@H](O)C4)[C@H]3CC[C@@]21C,2,11.7535,1.0702,1.15,False,False,6.0430,0.7813,False
3beta-hydroxytibolone,C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CC[C@H](O)C4)[C@H]3CC[C@@]21C,2,36.0941,1.5574,1.11,False,False,19.0681,1.2803,False
erlotinib,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,2,1.4789,0.1699,1.19,False,False,1.6519,0.2180,False
Icotinib,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,3,7.2733,0.8617,1.13,False,False,4.2388,0.6272,False
cinnarizine,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,1,16.0832,1.2064,1.00,False,False,41.0504,1.6133,False
teriflunomide,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,4,0.0068,-2.1655,1.42,False,True,0.1434,-0.8433,False
