canon_smiles,clint_hep,source
C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,94.01,tdc_hep
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,8.59,tdc_hep
C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,12.715,tdc_hep
C(=C/c1nn[nH]n1)\c1ccccc1,3.0,tdc_hep
C=CC(=O)Nc1ccc(C)cc1,54.239999999999995,tdc_hep
C=CC(=O)Nc1ccc(F)cc1,20.51,tdc_hep
C=CC(=O)Nc1ccc(OC)cc1,26.689999999999998,tdc_hep
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,82.745,tdc_hep
C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3cnc(NCCCCN(CC)CC)nc32)c1,39.81,tdc_hep
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,41.370000000000005,tdc_hep
C=CC(=O)Nc1ccccc1,31.63,tdc_hep
C=CCOc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,83.18,tdc_hep
C=CCc1ccccc1OCC(O)CNC(C)C,81.59,tdc_hep
CC,150.0,tdc_hep
CC#C[C@@H](CC(=O)O)c1ccc(OCc2cccc(-c3ccc(C(F)(F)F)cc3)c2)cc1,15.49,tdc_hep
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,26.92,tdc_hep
CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccc(C)cc1,30.9,tdc_hep
CC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,3.0,tdc_hep
CC(=O)Nc1ccc2c(c1)c(-c1cc(NC3CC3)n3ncc(C#N)c3n1)cn2CCCO,12.3,tdc_hep
CC(=O)Nc1ccc2ccn(-c3cc(NC4COC4)n4ncc(C#N)c4n3)c2c1,21.88,tdc_hep
CC(=O)Nc1ccc2ccn(-c3cc(Nc4ccn(C)n4)n4ncc(C#N)c4n3)c2c1,42.66,tdc_hep
CC(=O)Nc1nc(CCc2ccc(NC(=N)N)cc2)cs1,12.88,tdc_hep
CC(=O)c1cc2ccc(O)cc2oc1=O,150.0,tdc_hep
CC(=O)c1cn(Cc2ccccc2)c(=O)n(Cc2ccc(F)cc2)c1=O,150.0,tdc_hep
CC(=O)c1ncccc1NC(=O)[C@H]1CC[C@H](N2C(=O)[C@@H]3[C@@H]4CC[C@@H](C4)[C@@H]3C2=O)CC1,150.0,tdc_hep
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,12.885,tdc_hep
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,28.35,tdc_hep
CC(C(=O)OC1CC[N+](C)(C)CC1)(c1ccccc1)N1CCC(F)(F)CC1,38.0,tdc_hep
CC(C(=O)O[C@@H]1CC[N+](C)(C)C1)(c1ccccc1)C1CCCC1,119.0,tdc_hep
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,3.0,tdc_hep
CC(C)(C)NC(=O)NCCN1CC(NC(=O)c2cc(Cl)cc(Cl)c2)C1,3.31,tdc_hep
CC(C)(C)NC(=O)NCCN1CCC(CO)(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,7.08,tdc_hep
CC(C)(C)NC(=O)NCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,33.88,tdc_hep
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,31.965000000000003,tdc_hep
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,87.85,tdc_hep
CC(C)(C)NC(=O)c1ccc(Oc2cc(F)c(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(C3CC3)cc2Cl)c1,6.0,tdc_hep
CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1,77.285,tdc_hep
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,12.0,tdc_hep
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(N)nn3c2)c1,20.0,tdc_hep
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCCC4)nn3c2)c1,3.895,tdc_hep
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCOCC4)nn3c2)c1,4.195,tdc_hep
CC(C)(C)S(=O)(=O)N[C@H]1CC[C@H](C(=O)Nc2ccc(C(F)(F)F)cn2)CC1,5.75,tdc_hep
CC(C)(C)c1cc(NC(=O)NCc2ccccc2Sc2ccc3nnc(-c4ccccc4SCCO)n3c2)n(-c2ccc(O)c(Cl)c2)n1,47.955000000000005,tdc_hep
