smiles,ik14,clint_hep,source
C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,QCUZOJBYWQPLIN,94.01,tdc_hep
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG,8.59,tdc_hep
C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,QQLKULDARVNMAL,12.715,tdc_hep
C(=C/c1nn[nH]n1)\c1ccccc1,UHYGCMNTYAEAHI,3.0,tdc_hep
C=CC(=O)Nc1ccc(C)cc1,CNXASKVINSMOTB,54.239999999999995,tdc_hep
C=CC(=O)Nc1ccc(F)cc1,LVCGCAYBLBKRDP,20.51,tdc_hep
C=CC(=O)Nc1ccc(OC)cc1,YMHDGRAROYGJLT,26.689999999999998,tdc_hep
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,AWQLTDUXGVCRBV,82.745,tdc_hep
C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3cnc(NCCCCN(CC)CC)nc32)c1,DNVFTXQYIYFQBW,39.81,tdc_hep
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,ITTRLTNMFYIYPA,41.370000000000005,tdc_hep
C=CC(=O)Nc1ccccc1,BPCNEKWROYSOLT,31.63,tdc_hep
C=CCOc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,NGMBEJKZRRVAGQ,83.18,tdc_hep
C=CCc1ccccc1OCC(O)CNC(C)C,PAZJSJFMUHDSTF,81.59,tdc_hep
CC,OTMSDBZUPAUEDD,150.0,tdc_hep
CC#C[C@@H](CC(=O)O)c1ccc(OCc2cccc(-c3ccc(C(F)(F)F)cc3)c2)cc1,ZOPNBMMVVZRSGH,15.49,tdc_hep
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,VKHAHZOOUSRJNA,26.92,tdc_hep
CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccc(C)cc1,AHQIVJMZARILIG,30.9,tdc_hep
CC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,BPSZDYHZKIOBML,3.0,tdc_hep
CC(=O)Nc1ccc2c(c1)c(-c1cc(NC3CC3)n3ncc(C#N)c3n1)cn2CCCO,OAKYYFZNZIPXEQ,12.3,tdc_hep
CC(=O)Nc1ccc2ccn(-c3cc(NC4COC4)n4ncc(C#N)c4n3)c2c1,DGZDPMXIIKQRKT,21.88,tdc_hep
CC(=O)Nc1ccc2ccn(-c3cc(Nc4ccn(C)n4)n4ncc(C#N)c4n3)c2c1,DDSXGXPBOKBKAJ,42.66,tdc_hep
CC(=O)Nc1nc(CCc2ccc(NC(=N)N)cc2)cs1,LMDXCMJWFMSUAI,12.88,tdc_hep
