name,canon_smiles,dose_mg,cmax_mg_L,log_cmax_per_dose,n_studies,tmax_h,thalf_h,auc_ng_h_ml,f_pct,formulation,is_prodrug,in_holdout
norgestrel,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,0.3,0.0104999999999999,-1.4559319556497243,1,1.63,38.19,188.31,,tablet,False,False
ethinamate,C#CC1(OC(N)=O)CCCCC1,1000.0,5.9,-2.229147988357856,1,1.0,2.25,24830.0,,,False,False
selegiline,C#CCN(C)[C@H](C)Cc1ccccc1,10.0,0.0022099773754498,-3.655612172363577,2,0.88,1.2,4.145,4.28,tablet,False,False
rasagiline,C#CCN[C@@H]1CCc2ccccc21,0.5,0.0026554103302162,-2.2748383638980605,3,0.33,1.26,1.47,36.0,tablet,False,False
rasagiline,C#CCN[C@@H]1CCc2ccccc21,1.0,0.0049383283578506,-2.3064200364653398,4,0.5,1.725,3.585,36.0,tablet,False,False
rasagiline,C#CCN[C@@H]1CCc2ccccc21,2.0,0.0116080155884018,-2.236272013019935,4,0.4499999999999999,2.13,9.204999999999998,36.0,tablet,False,False
rasagiline,C#CCN[C@@H]1CCc2ccccc21,5.0,0.0222,-2.3526170298853804,1,0.56,2.87,20.9,36.0,tablet,False,False
Islatravir,C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,5.0,0.0431099999999999,-2.0643919814821308,1,0.5,,,,suspension,False,False
Islatravir,C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,15.0,0.1143699999999999,-2.117779137947295,1,0.5,51.4,463.35,,suspension,False,False
Islatravir,C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,30.0,0.3137899999999999,-1.980482155538916,1,0.5,48.6,1146.64,,suspension,False,False
Islatravir,C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,100.0,0.93843,-2.027598117019765,1,0.5,58.9,3431.12,,suspension,False,False
Islatravir,C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,200.0,1.81233,-2.0427927161586137,1,0.5,61.4,7507.4,,suspension,False,False
Islatravir,C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,400.0,2.90619,-2.1387359872661142,1,0.5,48.5,14164.36,,suspension,False,False
etonogestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,0.15,0.0012899999999999,-2.0655015487564325,1,1.3,30.6,12.4,79.0,tablet,True,False
norethisterone (norethindrone),C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0.3,0.0043599999999999,-1.8376347654510763,1,1.0,,,,tablet,False,False
