name,smiles,dose_mg,cmax_obs,cmax_pbpk,fup,clint,logP,TPSA_norm,MW_norm,is_acid,is_base,pgp_flag,in_platinum
tasimelteon,CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2,20.0,0.2359595014589781,0.1849260946724014,0.2494,0.949,2.2512,0.19165,0.4088699999999999,0.0,0.0,0.0,False
roxadustat,Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,100.0,8.384317297178903,3.1534775282575813,0.0141,1.984,2.8555200000000003,0.5437500000000001,0.5872433333333335,1.0,0.0,0.0,False
azilsartan,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,40.0,2.452206530817404,0.6313487345339573,0.0097,4.153,4.1918000000000015,0.6161999999999999,0.7607633333333336,1.0,0.0,0.0,False
tadalafil,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,10.0,0.16879441091964625,0.10841603125889643,0.043,1.532,2.2112999999999996,0.37435,0.6490183333333336,0.0,0.0,0.0,False
losartan,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,50.0,0.23065104906823403,0.06990267013902099,0.0105,4.021,4.2668000000000035,0.46255,0.7048666666666668,0.0,0.0,0.0,True
losartan carboxylic acid (e-3174),CCCCc1nc(Cl)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,50.0,0.30822664704755476,0.470080415695594,0.0075,4.293,4.472700000000002,0.5478999999999999,0.7281716666666669,1.0,0.0,0.0,False
siponimod,CCc1cc(/C(C)=N/OCc2ccc(C3CCCCC3)c(C(F)(F)F)c2)ccc1CN1CC(C(=O)O)C1,0.25,0.0018466596372557053,0.0006864465622630352,0.0028,4.135,6.7727000000000075,0.31065,0.8610066666666669,1.0,0.0,0.0,False
gatifloxacin,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,400.0,3.918968085996581,4.910342112993224,0.4514,1.26,1.9804,0.41900000000000004,0.6256666666666669,1.0,0.0,0.0,False
tinidazole,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,1000.0,19.614836124170495,16.305669521008962,0.1548,0.21,0.5344200000000001,0.4755,0.41212666666666664,0.0,0.0,0.0,False
mirabegron,Nc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3ccccc3)cc2)cs1,100.0,0.06045782018485688,0.5558898474685943,0.0818,2.152,2.7722000000000007,0.50135,0.66086,0.0,1.0,0.0,False
atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,40.0,0.016035221494813127,0.00725629491787919,0.0091,4.467,6.313600000000008,0.5589500000000001,0.9310833333333338,1.0,0.0,0.0,False
simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,40.0,0.00885921411988956,0.009087709924018023,0.0354,4.285,4.585600000000005,0.36415,0.6976233333333337,0.0,0.0,0.0,False
melagatran,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,36.0,0.144713590679814,0.2514949122141011,0.3828,0.646,0.8108700000000015,0.7430499999999999,0.7158683333333338,1.0,0.0,0.0,False
apixaban,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,10.0,0.1705367387794138,0.1292923613522134,0.1153,2.459,2.699600000000001,0.5538,0.7658433333333339,1.0,0.0,1.0,True
loxoprofen,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,60.0,5.6052073582467905,2.4640214808954792,0.0122,1.37,2.7864000000000013,0.27185,0.4105099999999999,1.0,0.0,0.0,False
vilazodone,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,20.0,0.03591591549175925,0.0943744441908512,0.0326,3.897,4.029580000000003,0.51145,0.7358916666666669,0.0,0.0,0.0,True
levofloxacin,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,500.0,5.413088823258426,4.993984581746318,0.3067,0.877,1.5439999999999998,0.37504999999999994,0.6022883333333334,1.0,0.0,0.0,False
quazepam,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,20.0,0.03676260299363175,0.05970783543664058,0.0227,4.444,5.026200000000003,0.078,0.6446683333333335,0.0,0.0,0.0,False
tedizolid,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1,200.0,2.1876845871303754,2.0847528161293587,0.2294,0.81,1.3957,0.5313000000000001,0.6172400000000001,0.0,1.0,0.0,False
momelotinib,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,200.0,0.48372070610993895,2.7946642764432177,0.0621,2.498,2.9771800000000015,0.51585,0.6907816666666671,0.0,1.0,0.0,False
