canonical_smiles,name,log_vdss,ik14
O=C1[O][Pt]2(<-[NH2][C@@H]3CCCC[C@H]3[NH2]->2)[O]C1=O,Oxaliplatin,-0.2028467382843445,
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,Erlotinib,0.5203899448766429,AAKJLRGGTJKAMG
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,Diazepam,-0.045757490560675115,AAOVKJBEBIDNHE
C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,Fludrocortisone,0.08432088570003587,AAXVEMMRQDVLJB
COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,Ivabradine,0.1549019599857432,ACRHBAYQBXXRTO
COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,Ubidecarenone,1.3096301674258988,ACTIUHUUMQJHFO
CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1O,Spiramycin,0.6320232147054056,ACTOXUHEUCPTEW
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,Valsartan,-0.6146491186359829,ACWBQPMHZXGDFX
Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,Binimetinib,0.11868978733129842,ACWZRVQXLIRSDF
NC1CC1c1ccccc1,Tranylcypromine,0.5314789170422551,AELCINSCMGFISI
CCc1cc(C(N)=S)ccn1,Ethionamide,0.1257135708582609,AEOCXXJPGCBFJA
CC[C@@H](CO)NCCN[C@@H](CC)CO,Ethambutol,0.03685693132534364,AEUTYOVWOVBAKS
Cn1c(=O)oc2ccc(-c3ccc(C[C@@H](C#N)NC(=O)[C@@H]4CNCCCO4)cc3)cc21,Brensocatib,0.2947810463869797,AEXFXNFMSAAELR
CSc1ccc(C(=O)/C=C/c2cc(C)c(OC(C)(C)C(=O)O)c(C)c2)cc1,Elafibranor,1.8298549080343085,AFLFKFHDSCQHOL
[89Sr+2].[Cl-].[Cl-],Strontium chloride Sr-89,-0.01902323731343038,AHBGXTDRMVNFER
CN(C)[C@@H]1C(O)=C(C(=O)NCNCCCC[C@H](N)C(=O)O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,Lymecycline,0.17609125905568124,AHEVKYYGXVEWNO
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,Palbociclib,1.5670263661590604,AHJRHEGDXFFMBM
CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,Tepotinib,-0.2653144433974467,AHYMHWXQRWRBKT
COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,Brigatinib,0.33959339080334194,AILRADAXUVEEIR
CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,Ibutilide,1.0413926851582251,ALOBUEHUHMBRLE
O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I,Ioversol,-0.585026652029182,AMDBBAQNWSUWGN
CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,Naratriptan,0.3853508813640171,AMKVXSZCKVJAGH
