Drug	Type	Cmax_obs	fm_ugt=0.0	fm_ugt=0.1	fm_ugt=0.3	fm_ugt=0.5	fm_ugt=0.7	fm_ugt=0.9
morphine	base	0.0186	0.0168	0.0169	0.0175	0.0184	0.0198	0.0229
codeine	base	0.1390	0.0817	0.0835	0.0883	0.0955	0.1075	0.1318
phenytoin	neutral	5.0000	1.3313	1.3622	1.4303	1.5115	1.6102	1.7327
indomethacin	acid	1.5400	0.1644	0.1627	0.1606	0.1586	0.1567	0.1548
diclofenac	acid	0.5000	0.3156	0.3203	0.3304	0.3415	0.3536	0.3671
losartan	acid	0.2240	0.0580	0.0605	0.0664	0.0742	0.0848	0.1002
carbamazepine	neutral	1.0000	0.4168	0.4263	0.4553	0.4954	0.5553	0.6536
zonisamide	neutral	2.0000	0.9364	0.9650	1.0622	1.1925	1.3790	1.6702
clozapine	neutral	0.4130	0.4537	0.4573	0.4666	0.4770	0.4886	0.5015
tamoxifen	base	0.0400	0.0422	0.0423	0.0426	0.0429	0.0433	0.0437
metronidazole	neutral	13.0000	1.1162	1.1493	1.2707	1.4469	1.7284	2.2664
bexagliflozin	neutral	0.1340	0.0113	0.0116	0.0123	0.0132	0.0143	0.0157
glasdegib	neutral	1.2520	0.1370	0.1396	0.1471	0.1578	0.1738	0.1991
febuxostat	acid	1.5000	1.1867	1.1807	1.1680	1.1556	1.1436	1.1320
