ik14,canon_smiles,cmax_mg_L,dose_mg,n_records,n_sources,cmax_per_dose,log_cmax_per_dose
ACTOXUHEUCPTEW,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1O,2.276262,2000.0,3,1,0.001138131,-2.9438077473409408
ACWBQPMHZXGDFX,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,4.837997898999999,320.0,9,1,0.015118743434374998,-1.820484302895307
ADHKYAXGWCBOHI,Cn1c([S+](C)[O-])nc(-c2ccc(F)cc2)c1-c1ccnc(N)c1,0.09085725,15.0,6,1,0.00605715,-2.217731671282107
AEQFSUDEHCCHBT,CCCC(CCC)C(=O)[O-].[Na+],103.320366501,900.0,2,2,0.11480040722333333,-0.9400565713933337
AEUTYOVWOVBAKS,CC[C@@H](CO)NCCN[C@@H](CC)CO,2.1999998645,15.0,3,2,0.14666665763333334,-0.8336686049820677
AFZFFLVORLEPPO,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(/C=C\c3scnc3C)CS[C@H]12)c1csc(N)n1,3.7000014662,400.0,1,1,0.0092500036655,-2.03385809516301
AHJUHHDDCJQACA,COc1cc2c(cc1OC)CN(CCc1ccc(-n3nnc(-c4cc(OC)c(OC)cc4NC(=O)c4cc(=O)c5ccccc5o4)n3)cc1)CC2,0.01455066561,630.0,2,1,2.3096294619047617e-05,-4.636457689180568
AIJTTZAVMXIJGM,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,1.3999995719999998,400.0,1,1,0.0034999989299999996,-2.455932088419772
AJFTZWGGHJXZOB,CS(=O)(=O)c1ccc(-c2cc(Br)sc2-c2ccc(F)cc2)cc1,60.50000170759999,10.0,1,1,6.050000170759999,0.7817553869103406
AOTRIQLYUAFVSC,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2CCOCC2)c(=O)n4C)cn1,0.028545796649999997,45.0,4,1,0.0006343510366666666,-3.197670346065811
AVAACINZEOAHHE,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)[C@H](C)[C@H]12,18.899998564199997,500.0,5,2,0.037799997128399994,-1.4225082331553696
AVKUERGKIZMTKX,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,3.200001603,500.0,1,1,0.006400003206,-2.1938198084617753
AVPQPGFLVZTJOR,COc1c(N2C[C@@H](C)C[C@H](N)C2)ccc2c(=O)c(C(=O)O)cn(C3CC3)c12,3.0789998783999994,500.0,18,2,0.0061579997567999985,-2.2105603325845617
